id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-155668,2021-01-04,000001,Vente,170270,14,,ALL DE RIVASSELOU,7370,35400,35288,Saint-Malo,35,,,352880000B0989,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.986727,48.657138
2021-155668,2021-01-04,000001,Vente,170270,16,,ALL DE RIVASSELOU,7370,35400,35288,Saint-Malo,35,,,352880000B0989,,,203,,218,48.66,336,,,,,,3,2,Appartement,49,2,,,,,,-1.986727,48.657138
2021-155678,2021-01-04,000001,Vente en l'état futur d'achèvement,265000,18,,RUE CONSTANTINE,2000,35400,35288,Saint-Malo,35,,,35288000BN0149,,,33,,,,,,,,,,1,,,,,,,,,,-2.011402,48.635405
2021-155678,2021-01-04,000001,Vente en l'état futur d'achèvement,265000,18,,RUE CONSTANTINE,2000,35400,35288,Saint-Malo,35,,,35288000BN0149,,,55,,,,,,,,,,1,,,,,,,,,,-2.011402,48.635405
2021-155680,2021-01-04,000001,Vente,152000,35,,RUE ERNEST RENAN,2880,35400,35288,Saint-Malo,35,,,35288000AK0769,,,96,,,,,,,,,,1,3,Dépendance,,0,,,,,,-2.003384,48.650288
2021-155682,2021-01-18,000001,Vente,155000,20,,RUE GEORGES CLEMENCEAU,3540,35400,35288,Saint-Malo,35,,,35288000BM0322,,,11,,9,,,,,,,,2,2,Appartement,31,2,,,,,,-2.018319,48.639727
2021-155694,2021-01-04,000001,Vente,250000,64,T,AV ARISTIDE BRIAND,0370,35400,35288,Saint-Malo,35,,,35288000AO0108,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.995567,48.648314
2021-155694,2021-01-04,000001,Vente,250000,64,B,AV ARISTIDE BRIAND,0370,35400,35288,Saint-Malo,35,,,35288000AO0108,,,101,,103,,,,,,,,2,2,Appartement,67,3,,,,,,-1.995567,48.648314
2021-155695,2021-01-07,000001,Vente,635000,21,,RUE DE LA PLAGE,6650,35400,35288,Saint-Malo,35,,,352880000H0008,,,24,,49,,,,,,,,2,2,Appartement,87,3,,,,,,-1.988936,48.66437
2021-155695,2021-01-07,000001,Vente,635000,21,,RUE DE LA PLAGE,6650,35400,35288,Saint-Malo,35,,,352880000H0008,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.988936,48.66437
2021-155696,2021-01-06,000001,Vente en l'état futur d'achèvement,190000,4,,IMP LOUISE FOULON-ROPARS,5194,35400,35288,Saint-Malo,35,,,352880000M0976,,,79,,,,,,,,,,1,,,,,,,,,,-1.974667,48.679422
2021-155696,2021-01-06,000001,Vente en l'état futur d'achèvement,190000,4,,IMP LOUISE FOULON-ROPARS,5194,35400,35288,Saint-Malo,35,,,352880000M0976,,,14,,,,,,,,,,1,,,,,,,,,,-1.974667,48.679422
2021-155698,2021-01-05,000001,Vente,500000,18,,AV DE LORRAINE,5130,35400,35288,Saint-Malo,35,,,352880000G1005,,,,,,,,,,,,,0,,,,,S,sols,,,55,-1.984526,48.659462
2021-155698,2021-01-05,000001,Vente,500000,18,,AV DE LORRAINE,5130,35400,35288,Saint-Malo,35,,,352880000G1011,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,12,-1.984544,48.65949
2021-155698,2021-01-05,000001,Vente,500000,18,B,AV DE LORRAINE,5130,35400,35288,Saint-Malo,35,,,352880000G1012,,,,,,,,,,,,,0,1,Maison,102,5,S,sols,,,84,-1.984557,48.659424
2021-155701,2021-01-12,000001,Vente en l'état futur d'achèvement,249000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,83,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-155701,2021-01-12,000001,Vente en l'état futur d'achèvement,249000,55,,BD DES TALARDS,8100,35400,35288,Saint-Malo,35,,,35288000AV0027,,,25,,,,,,,,,,1,,,,,,,,,,-2.007747,48.643171
2021-155704,2021-01-04,000001,Vente,160000,18,,RUE DAUPHINE,2370,35400,35288,Saint-Malo,35,,,35288000BM0153,,,18,,9,31.96,,,,,,,2,2,Appartement,34,1,,,,,,-2.018728,48.639211
2021-155705,2021-01-06,000001,Vente,680000,92,,BD CHATEAUBRIAND,1610,35400,35288,Saint-Malo,35,,,35288000AM0130,,,7,232.8,,,,,,,,,1,4,Local industriel. commercial ou assimilé,293,0,,,,,,-1.99652,48.657632
2021-155708,2021-01-07,000001,Vente en l'état futur d'achèvement,225000,1,,BD SAINT MICH DES SABLONS,7790,35400,35288,Saint-Malo,35,,,352880000N0261,,,40,,,,,,,,,,1,,,,,,,,,,-1.973187,48.68084
2021-155708,2021-01-07,000001,Vente en l'état futur d'achèvement,225000,1,,BD SAINT MICH DES SABLONS,7790,35400,35288,Saint-Malo,35,,,352880000N0261,,,6,,,,,,,,,,1,,,,,,,,,,-1.973187,48.68084
